offense_id,incident_id,crime_head,mo_text,mo_signature,severity_weight
OFF000002,INC000001,Cheating,"Accused posed as a insurance agent and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000003,INC000002,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via a fraudulent link, then became unreachable.",channel:a fraudulent link,20
OFF000004,INC000003,Cheating,"Accused posed as a delivery agent and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000005,INC000004,Cheating,"Accused posed as a insurance agent and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000006,INC000005,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000007,INC000006,Cheating,"Accused posed as a insurance agent and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000008,INC000007,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000009,INC000008,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a bus stop over a property boundary, causing injury with a iron rod.",weapon:iron rod,35
OFF000010,INC000009,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a bus stop over an old debt, causing injury with a iron rod.",weapon:iron rod,35
OFF000011,INC000010,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a parking lot over an old debt, causing injury with a iron rod.",weapon:iron rod,35
OFF000012,INC000011,Hurt / Grievous Hurt,"Accused engaged in an altercation with the victim near a bus stop over an old debt, causing injury with a iron rod.",weapon:iron rod,35
OFF000013,INC000012,Cheating,"Accused posed as a bank official and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000014,INC000013,Cheating,"Accused posed as a government officer and convinced the victim to transfer funds via UPI, then became unreachable.",channel:UPI,20
OFF000015,INC000014,Theft,Accused was seen loitering near a residential lane before removing a bag of valuables and fleeing on a bicycle.,vehicle:bicycle,8
OFF000016,INC000015,Theft,Accused was seen loitering near a residential lane before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000017,INC000016,Theft,Accused was seen loitering near a residential lane before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000018,INC000017,Theft,Accused was seen loitering near a bus stop before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000019,INC000018,Theft,Accused was seen loitering near a residential lane before removing two mobile phones and fleeing on a bicycle.,vehicle:bicycle,8
OFF000020,INC000019,Burglary,Accused gained entry through the terrace access and removed jewellery from the premises while occupants were asleep.,entry:terrace access,15
OFF000021,INC000020,Burglary,Accused gained entry through the terrace access and removed cash and electronics from the premises while occupants were asleep.,entry:terrace access,15
OFF000022,INC000021,Burglary,Accused gained entry through the terrace access and removed a bag of valuables from the premises while occupants were at work.,entry:terrace access,15
OFF000023,INC000022,Robbery,"Accused approached the victim near a bus stop, threatened them with a blunt object, and fled with cash and electronics on a two-wheeler.",weapon:blunt object,45
OFF000024,INC000023,Robbery,"Accused approached the victim near a market area, threatened them with a blunt object, and fled with two mobile phones on a two-wheeler.",weapon:blunt object,45
OFF000025,INC000024,Robbery,"Accused approached the victim near a railway station, threatened them with a blunt object, and fled with cash and electronics on a two-wheeler.",weapon:blunt object,45
OFF000026,INC000025,Robbery,"Accused approached the victim near a parking lot, threatened them with a blunt object, and fled with a bag of valuables on a two-wheeler.",weapon:blunt object,45
OFF000027,INC000026,Robbery,"Accused approached the victim near a market area, threatened them with a blunt object, and fled with a bag of valuables on a two-wheeler.",weapon:blunt object,45
OFF000028,INC000027,Burglary,Accused gained entry through the rear window and removed a laptop from the premises while occupants were away.,entry:rear window,15
OFF000029,INC000028,Burglary,Accused gained entry through the rear window and removed two mobile phones from the premises while occupants were away.,entry:rear window,15
OFF000030,INC000029,Burglary,Accused gained entry through the rear window and removed cash and electronics from the premises while occupants were at work.,entry:rear window,15
OFF000031,INC000030,Burglary,Accused gained entry through the rear window and removed jewellery from the premises while occupants were asleep.,entry:rear window,15
OFF000032,INC000031,Burglary,Accused gained entry through the rear window and removed jewellery from the premises while occupants were asleep.,entry:rear window,15
OFF000033,INC000032,Theft,Accused was seen loitering near a residential lane before removing cash and electronics and fleeing on a on foot.,vehicle:on foot,8
OFF000034,INC000033,Theft,Accused was seen loitering near a railway station before removing a laptop and fleeing on a on foot.,vehicle:on foot,8
